Accident_ID,Date,Time,Location,Weather,Road_Type,Vehicle_Type,Driver_Age,Severity,Casualties,Speed_Limit
1124,200,128,1,2,1,3,22,2,2,100
1135,201,762,3,2,2,0,20,2,2,60
1146,202,1361,0,0,2,0,21,2,3,40
1157,203,184,2,3,2,3,19,2,2,100
1168,204,243,4,2,2,1,67,0,4,100
1179,205,136,4,2,2,0,32,1,4,60
1190,206,19,3,1,1,0,31,2,2,100
1201,207,1133,4,2,1,3,42,1,0,40
1212,208,435,0,2,1,3,22,1,3,100
1224,209,1078,4,1,0,3,46,2,0,80
1235,210,688,1,2,1,3,28,1,1,40
1246,211,652,2,0,1,1,23,1,3,40
1257,212,492,3,2,0,1,69,0,1,80
1268,213,62,3,0,0,3,20,2,1,60
1279,214,1064,1,1,2,3,56,0,2,40
1290,215,339,2,0,2,1,42,0,3,60
1301,216,572,2,2,1,0,50,2,2,100
1312,217,812,1,3,1,0,20,2,3,80
1323,218,205,3,3,1,0,64,2,3,40
1335,219,665,1,0,0,3,46,1,1,40
1346,220,410,1,2,0,3,42,1,3,80
1357,221,560,4,0,2,2,42,0,4,100
1368,222,783,2,3,2,2,56,2,2,80
1379,223,697,4,2,2,3,37,0,3,80
1390,224,899,0,2,2,2,48,1,2,60
1401,225,540,0,0,0,2,63,0,0,80
1412,226,962,4,0,1,2,47,0,3,100
1423,227,244,3,0,0,0,55,1,1,40
1434,228,72,4,2,2,0,25,2,0,80
1446,229,617,3,2,2,0,23,0,1,80
1457,230,605,1,0,2,1,64,2,4,40
1468,231,1401,3,2,0,2,69,1,4,100
1479,232,773,1,1,2,0,66,1,2,80
1490,233,330,2,1,2,0,44,1,4,40
1501,234,894,0,1,1,3,60,2,2,100
1512,235,899,1,1,2,3,38,1,4,100
1523,236,1060,2,2,2,3,63,1,4,60
1534,237,188,1,2,2,3,24,0,2,60
1545,238,1350,0,1,1,1,62,0,3,100
1557,239,610,3,1,1,3,30,2,0,100
1568,240,496,2,3,0,0,36,0,3,60
1579,241,535,3,0,2,1,50,1,4,60
1590,242,102,3,1,2,1,20,2,1,60
1601,243,887,0,0,1,3,61,2,2,80
1612,244,376,1,1,0,3,20,2,3,80
1623,245,966,3,1,1,2,59,1,0,60
1634,246,192,2,0,0,2,27,1,4,100
1645,247,210,1,3,2,3,54,2,4,40
1656,248,8,3,1,0,3,44,2,4,100
1668,249,479,2,2,2,0,29,2,0,100
1679,250,784,1,0,2,1,20,0,3,40
1690,251,273,1,0,0,0,28,0,2,60
1701,252,1385,3,0,0,3,24,2,3,40
1712,253,504,0,1,2,1,31,0,2,100
1723,254,377,3,0,1,0,29,1,4,60
1734,255,146,4,0,0,3,61,2,3,100
1745,256,747,4,0,1,1,41,1,0,80
1756,257,379,1,0,0,2,43,2,4,100
1767,258,384,0,2,0,3,59,0,0,80
1779,259,584,0,2,1,1,27,1,1,100
1790,260,560,2,2,0,3,50,1,2,100
1801,261,793,0,2,0,1,36,2,1,80
1812,262,875,4,2,0,2,32,1,2,40
1823,263,296,1,3,0,1,65,2,1,40
1834,264,714,0,3,1,2,21,0,3,100
1845,265,664,3,2,0,1,50,0,4,60
1856,266,813,1,3,1,1,20,2,2,40
1867,267,26,0,3,2,0,46,2,2,40
1878,268,8,1,1,2,0,67,2,4,80
1890,269,699,0,1,2,2,20,1,3,80
1901,270,1138,3,0,2,0,22,1,0,60
1912,271,574,3,2,0,2,22,1,3,40
1923,272,1113,3,0,1,3,64,2,4,40
1934,273,11,2,0,0,3,67,0,1,100
1945,274,1062,4,1,0,2,36,0,0,60
1956,275,1205,3,3,2,3,55,0,0,40
1967,276,75,2,3,0,0,41,0,2,100
1978,277,901,0,2,0,0,57,0,2,60
1989,278,418,0,3,0,2,42,2,1,100
2001,279,398,1,0,2,0,61,1,2,80
2012,280,674,2,0,2,2,29,0,0,100
2023,281,1272,2,2,2,0,21,2,0,40
2034,282,1321,4,0,1,1,41,1,3,60
2045,283,1000,0,1,2,1,26,0,4,60
2056,284,450,3,3,2,0,32,1,1,60
2067,285,790,1,1,0,1,51,0,0,60
2078,286,533,1,2,0,0,67,1,0,100
2089,287,825,0,1,1,0,65,0,3,80
2100,288,956,3,2,1,2,43,1,2,60
2112,289,702,0,2,0,3,18,2,4,60
2123,290,136,2,2,2,3,49,0,1,80
2134,291,149,3,1,1,3,47,0,4,100
2145,292,153,2,3,0,2,61,2,2,100
2156,293,367,3,2,1,1,37,1,0,80
2167,294,7,3,0,2,2,61,0,4,80
2178,295,1172,1,2,2,2,43,0,2,60
2189,296,493,2,0,0,3,42,2,4,60
2200,297,792,0,2,0,2,48,2,1,100
2211,298,565,3,3,1,2,31,2,4,100
2224,299,945,0,1,2,1,60,2,0,80
2235,300,813,3,3,1,3,60,1,3,80
2246,301,1044,4,1,0,0,45,0,3,60
2257,302,331,0,2,2,3,38,0,3,100
2268,303,245,2,1,0,0,21,2,2,100
2279,304,1235,1,2,2,0,37,0,4,100
2290,305,128,4,2,0,2,24,1,1,80
2301,306,1396,0,1,2,3,65,0,3,80
2312,307,1025,2,0,0,2,37,0,4,80
2323,308,817,1,3,1,2,22,2,1,40
2335,309,810,2,1,2,2,46,1,1,100
2346,310,679,3,2,1,0,50,0,2,40
2357,311,1016,4,2,1,3,49,2,4,40
2368,312,1031,2,2,2,1,52,0,1,80
2379,313,1263,2,0,1,2,30,0,4,60
2390,314,1245,4,1,2,2,30,0,3,40
2401,315,1400,3,0,2,0,63,2,4,100
2412,316,915,3,0,2,0,47,0,4,100
2423,317,816,3,0,2,0,34,2,4,80
2434,318,802,2,1,0,3,20,0,3,100
2446,319,377,2,1,0,1,31,2,1,60
2457,320,849,4,3,1,3,62,1,2,40
2468,321,1432,3,1,2,2,27,1,2,100
2479,322,921,2,2,0,3,23,0,3,100
2490,323,482,3,0,2,3,21,1,2,80
2501,324,187,2,2,0,1,61,1,1,100
2512,325,1191,3,0,1,2,57,0,3,80
2523,326,1411,2,3,2,0,51,2,4,60
2534,327,760,4,3,2,3,69,2,0,40
2545,328,312,4,1,1,3,34,1,0,100
2557,329,1301,4,0,0,0,29,2,2,100
2568,330,952,4,0,2,3,52,0,0,100
2579,331,82,1,3,1,1,29,2,4,60
2590,332,927,1,3,0,2,53,1,2,100
2601,333,75,3,2,1,3,61,1,0,80
2612,334,1030,4,1,1,3,50,2,0,80
2623,335,754,2,0,0,2,26,2,2,40
2634,336,1369,0,3,1,2,55,1,1,100
2645,337,1306,2,0,2,1,36,0,2,40
2656,338,1252,1,3,2,0,25,0,1,60
2668,339,492,1,2,1,1,24,2,2,60
2679,340,1334,4,3,0,0,58,2,1,40
2690,341,714,0,0,2,1,28,2,4,60
2701,342,957,4,3,1,3,69,0,3,40
2712,343,954,1,1,0,2,38,1,1,80
2723,344,977,3,3,0,2,23,1,4,100
2734,345,679,1,3,1,3,22,2,2,80
2745,346,187,0,3,2,3,34,2,4,60
2756,347,788,1,1,1,1,26,1,1,100
2767,348,820,0,1,1,1,68,2,3,100
2779,349,1264,3,0,2,0,25,1,4,100
2790,350,1215,0,3,2,3,66,1,1,80
2801,351,1425,4,0,2,1,55,1,0,80
2812,352,971,1,2,2,1,53,1,2,100
2823,353,1275,3,2,1,0,51,2,2,40
2834,354,564,1,1,0,1,25,2,0,80
2845,355,60,0,1,0,3,54,1,1,100
2856,356,479,2,3,0,0,30,2,3,100
2867,357,112,0,3,1,0,42,2,2,60
2878,358,20,0,2,1,3,25,0,1,40
2890,359,1219,4,2,1,0,44,1,1,60
2901,360,1179,3,2,0,3,42,2,0,40
2912,361,723,0,0,2,3,56,2,0,60
2923,362,744,3,1,0,0,57,1,1,100
2934,363,224,0,0,2,2,39,2,1,40
2945,364,199,1,0,0,0,46,1,2,100
2956,365,303,4,1,1,1,29,0,1,80
2967,366,1227,4,2,1,0,34,1,4,80
2978,367,361,3,3,1,2,21,0,4,60
2989,368,1374,1,1,2,3,52,2,3,60
3001,369,808,4,0,1,2,26,0,1,100
3012,370,1000,4,2,2,0,33,1,2,80
3023,371,267,2,2,2,0,34,1,1,40
3034,372,1039,3,1,1,0,18,1,2,100
3045,373,423,2,0,1,2,40,2,2,60
3056,374,738,2,3,1,2,30,1,3,60
3067,375,1372,4,1,1,1,53,2,2,80
3078,376,668,1,3,0,0,68,2,2,60
3089,377,543,3,2,0,1,41,1,1,40
3100,378,116,4,3,1,3,47,1,0,60
3112,379,916,1,3,1,3,39,1,1,40
3123,380,1414,3,2,0,3,59,0,0,40
3134,381,524,4,1,1,0,57,2,0,60
3145,382,722,2,1,0,1,49,1,3,40
3156,383,726,2,2,0,2,18,0,2,100
3167,384,1229,1,1,0,0,20,2,0,100
3178,385,1423,1,0,2,3,52,0,0,100
3189,386,587,2,0,0,3,25,0,4,60
3200,387,1252,2,1,0,1,35,2,3,80
3211,388,910,4,3,0,1,67,2,0,40
3223,389,452,2,1,1,3,58,0,3,100
3234,390,305,4,1,0,3,64,0,1,80
3245,391,1033,1,3,1,0,64,0,0,60
3256,392,874,3,3,0,2,46,0,3,40
3267,393,1257,0,1,2,3,37,1,2,80
3278,394,789,1,0,0,2,43,0,2,40
3289,395,46,0,3,2,2,66,2,1,100
3300,396,342,3,3,0,2,50,2,3,40
3311,397,1249,0,1,0,1,54,1,2,40
3322,398,446,1,0,0,2,64,2,0,100
3335,399,352,0,0,2,0,32,1,3,100
3346,400,1273,0,0,0,3,41,0,3,40
3357,401,255,4,0,2,0,43,1,2,100
3368,402,394,0,0,0,2,24,0,0,80
3379,403,381,0,2,2,3,34,2,2,40
3390,404,974,3,2,0,1,60,2,2,40
3401,405,163,1,2,1,3,40,1,3,100
3412,406,141,3,2,2,0,69,2,2,80
3423,407,183,2,1,2,2,53,2,4,40
3434,408,1078,2,2,2,1,45,2,1,60
3446,409,365,3,0,0,1,25,0,3,60
3457,410,591,3,3,0,3,62,0,3,40
3468,411,717,0,3,2,3,67,1,1,100
3479,412,21,3,2,1,0,40,1,3,60
3490,413,19,4,0,0,2,41,2,3,80
3501,414,392,2,0,2,0,42,0,2,100
3512,415,325,4,2,1,2,38,2,4,80
3523,416,103,1,3,1,2,34,1,3,100
3534,417,528,1,1,1,1,61,0,3,60
3545,418,465,3,3,0,3,56,0,4,60
3557,419,295,2,3,2,1,20,0,1,80
3568,420,1326,1,2,1,0,69,0,2,100
3579,421,1094,1,1,2,0,39,1,0,80
3590,422,331,4,3,0,0,20,2,2,100
3601,423,492,2,3,1,3,21,1,4,80
3612,424,874,0,2,1,0,51,1,2,80
3623,425,1250,4,2,0,1,56,0,4,80
3634,426,952,3,1,0,3,66,0,3,80
3645,427,1280,4,3,0,1,49,2,1,60
3656,428,1310,2,3,0,3,35,1,2,40
3668,429,741,0,3,1,2,55,0,1,100
3679,430,27,0,0,2,1,54,2,3,100
3690,431,880,0,3,1,3,41,2,2,100
3701,432,294,2,0,0,3,20,2,0,80
3712,433,1238,1,2,0,3,68,0,2,60
3723,434,170,3,3,0,1,55,2,3,100
3734,435,377,4,3,1,0,30,1,3,80
3745,436,99,1,3,2,3,21,0,3,40
3756,437,466,3,0,2,1,53,1,4,100
3767,438,1243,4,1,2,1,33,1,0,60
3779,439,132,3,2,2,1,49,2,2,40
3790,440,106,0,0,0,2,34,2,2,40
3801,441,1335,3,1,1,3,47,1,1,80
3812,442,554,2,3,2,2,60,0,2,40
3823,443,1221,2,2,0,0,43,0,2,40
3834,444,140,3,2,2,3,53,1,3,80
3845,445,15,4,0,0,3,68,1,1,40
3856,446,1428,1,3,1,0,63,2,2,60
3867,447,631,1,3,1,2,69,1,4,40
3878,448,1278,3,2,1,2,48,0,3,100
3890,449,420,0,1,0,3,49,1,3,40
3901,450,803,0,1,1,0,53,0,3,100
3912,451,434,4,3,1,3,64,1,2,60
3923,452,60,0,1,0,3,41,2,2,100
3934,453,1013,2,2,2,0,65,2,0,60
3945,454,818,1,1,2,0,29,1,4,100
3956,455,1423,1,3,2,3,65,1,0,80
3967,456,6,0,1,1,3,36,2,4,80
3978,457,258,3,3,1,0,21,1,3,80
3989,458,1317,0,2,0,0,65,2,0,60
4001,459,1160,1,0,0,3,59,0,1,40
4012,460,851,4,2,0,0,59,0,1,100
4023,461,570,2,3,1,0,19,2,4,60
4034,462,228,2,1,2,3,25,0,2,100
4045,463,585,3,0,1,3,57,2,4,80
4056,464,988,2,1,2,2,33,2,4,80
4067,465,815,1,0,1,0,40,1,1,60
4078,466,1004,4,1,1,0,26,2,1,40
4089,467,912,2,2,0,3,44,0,4,100
4100,468,1313,2,3,1,0,30,1,3,60
4112,469,790,1,2,0,2,30,0,3,40
4123,470,325,0,2,0,1,50,2,1,40
4134,471,180,3,1,0,3,35,0,3,40
4145,472,268,2,3,0,3,37,2,0,100
4156,473,156,4,1,0,1,59,1,3,60
4167,474,591,2,1,2,3,54,2,3,80
4178,475,977,0,0,1,3,67,0,3,40
4189,476,348,1,0,2,2,30,0,3,80
4200,477,64,4,2,1,3,31,1,3,40
4211,478,697,2,2,0,2,51,2,3,80
4223,479,309,3,2,0,1,65,2,0,60
4234,480,703,1,1,2,3,28,1,4,40
4245,481,803,1,2,2,2,60,0,1,40
4256,482,841,3,2,2,3,28,2,0,80
4267,483,531,0,0,0,2,69,1,3,100
4278,484,1391,1,1,0,2,24,1,2,40
4289,485,488,4,2,0,3,24,1,0,60
4300,486,649,0,3,2,2,60,1,4,80
4311,487,1073,4,0,2,0,68,1,4,40
4322,488,882,2,3,1,2,63,2,2,40
4334,489,741,2,2,2,2,36,2,4,40
4345,490,827,4,0,0,0,46,0,4,60
4356,491,1398,3,1,1,1,52,0,2,60
4367,492,505,4,1,2,2,25,2,1,80
4378,493,1116,1,1,1,2,48,2,2,60
4389,494,380,0,0,2,2,51,2,1,60
4400,495,49,2,1,0,3,40,1,4,40
4411,496,924,2,1,0,3,38,2,1,40
4422,497,298,2,1,0,0,34,2,3,60
4433,498,694,4,2,1,2,54,1,4,100
4446,499,765,0,2,0,2,45,2,3,60
4457,500,1296,1,0,2,3,31,0,3,100
4468,501,126,1,1,2,1,52,0,4,100
4479,502,72,4,0,2,1,49,0,2,80
4490,503,482,4,3,2,2,61,1,0,40
4501,504,879,3,3,1,3,20,1,1,40
4512,505,1283,0,0,1,2,64,0,1,100
4523,506,1207,4,3,1,2,36,1,2,40
4534,507,619,0,2,2,2,42,2,0,60
4545,508,537,4,2,0,2,57,0,0,100
4557,509,1370,1,1,2,0,19,1,0,60
4568,510,812,0,3,1,2,47,0,3,60
4579,511,396,4,1,1,1,24,1,1,60
4590,512,1149,3,0,1,1,47,0,2,100
4601,513,939,2,1,0,1,54,0,3,40
4612,514,1333,0,0,0,2,39,0,1,100
4623,515,8,4,0,2,1,34,0,0,100
4634,516,1180,3,2,0,0,50,0,3,100
4645,517,1343,3,1,1,1,65,0,2,60
4656,518,639,3,3,1,0,51,2,1,60
4668,519,469,1,2,1,0,62,0,4,100
4679,520,383,0,3,0,2,30,0,0,100
4690,521,334,0,0,2,0,46,0,2,60
4701,522,103,3,1,2,0,42,1,2,80
4712,523,1064,1,1,1,1,67,1,2,100
4723,524,410,0,3,2,0,50,2,3,80
4734,525,1294,4,0,2,2,54,2,1,100
4745,526,368,3,1,2,3,42,2,4,60
4756,527,645,4,2,0,1,44,0,2,40
4767,528,1299,3,2,0,1,56,1,4,60
4779,529,378,3,3,0,0,49,1,3,60
4790,530,1073,4,2,2,1,27,2,1,40
4801,531,11,3,2,1,3,45,0,1,60
4812,532,435,1,2,1,2,31,0,0,60
4823,533,770,3,3,1,2,61,0,0,80
4834,534,103,0,3,1,2,46,1,3,100
4845,535,736,3,0,1,2,43,0,0,60
4856,536,320,1,0,0,0,56,2,3,40
4867,537,1381,0,0,1,0,67,2,1,100
4878,538,7,1,1,1,0,32,0,2,100
4890,539,122,4,3,0,2,36,0,3,40
4901,540,180,1,3,0,3,43,2,1,80
4912,541,15,1,2,1,2,21,1,4,100
4923,542,212,0,3,1,1,57,2,1,100
4934,543,241,4,2,1,2,22,1,2,60
4945,544,1279,2,3,0,0,47,1,4,60
4956,545,1161,2,2,2,2,37,0,4,60
4967,546,1291,1,2,1,0,43,0,2,80
4978,547,890,2,3,1,1,46,0,3,60
4989,548,771,1,0,0,2,67,0,0,60
5001,549,1341,1,0,2,1,26,0,1,60
5012,550,884,4,1,1,3,53,1,2,80
5023,551,704,1,1,1,0,47,0,0,100
5034,552,1235,0,2,2,1,65,1,0,100
5045,553,548,3,1,0,3,18,2,3,40
5056,554,310,1,1,1,2,19,1,0,100
5067,555,968,2,0,1,1,31,2,3,60
5078,556,2,4,0,0,3,18,1,1,60
5089,557,885,1,3,1,3,67,2,3,40
5100,558,757,3,2,2,1,23,1,0,60
5112,559,980,1,3,0,1,22,1,4,40
5123,560,456,1,1,0,3,26,2,3,100
5134,561,1091,3,2,1,0,21,0,3,60
5145,562,297,3,1,2,0,32,0,0,100
5156,563,957,4,1,0,1,18,2,1,40
5167,564,1409,3,2,2,2,28,1,4,60
5178,565,1287,3,0,2,2,51,1,4,40
5189,566,1168,3,1,1,0,53,1,4,80
5200,567,1035,3,3,0,0,41,2,2,80
5211,568,36,3,2,0,3,53,1,2,100
5223,569,1158,3,3,1,0,34,0,3,40
5234,570,474,1,2,2,2,36,2,4,80
5245,571,1273,2,1,2,2,56,2,4,100
5256,572,398,0,0,0,1,31,0,3,100
5267,573,877,0,1,1,0,44,2,0,100
5278,574,54,4,2,2,0,35,2,1,40
5289,575,507,4,1,0,3,64,2,4,40
5300,576,518,0,0,0,2,61,2,1,40
5311,577,618,1,2,1,2,52,1,4,80
5322,578,1395,4,0,1,0,31,0,3,60
5334,579,974,3,2,1,1,50,0,2,100
5345,580,919,0,3,2,1,27,1,0,80
5356,581,1022,4,3,2,1,28,2,2,80
5367,582,146,4,0,1,0,21,2,4,60
5378,583,1391,4,1,0,2,66,0,0,40
5389,584,1115,4,2,0,2,27,0,2,60
5400,585,1024,1,0,0,0,18,2,3,80
5411,586,888,1,2,2,3,45,0,0,80
5422,587,511,4,0,2,0,50,0,0,100
5433,588,61,4,3,1,3,61,1,1,80
5445,589,345,2,1,2,3,43,1,2,100
5456,590,1372,1,3,1,0,51,1,0,60
5467,591,769,2,2,2,3,31,1,2,40
5478,592,1389,0,0,0,1,26,1,1,40
5489,593,355,3,2,2,0,38,0,0,80
5500,594,606,1,3,0,2,64,1,1,40
5511,595,223,1,1,2,0,41,2,1,40
5522,596,82,2,3,0,1,33,2,3,60
5533,597,1410,4,1,0,1,34,1,0,100
5544,598,219,1,2,2,3,46,2,1,60
5557,599,552,1,1,1,1,44,0,3,80
